id,city,office,candidate,party,topics,summary,policy_argument,concrete_proposals,related_statements,published_date,source_title,source_url,source_type,last_verified,correction_log,related_sources,policy_argument_sources,concrete_proposal_sources,related_statement_sources
candidate-khh-mayor-lai-jui-lung-001,高雄市,縣市長,賴瑞隆,民主進步黨,社區文化|文化資產|傳統藝術|地方文史|表演藝術|文化產業|國際文化交流,"提出「文化高雄．世界舞台」7大政策、18項計畫，從文化生根、歷史街區與傳統技藝，到南方人文研究、表演人才、文化內容基地及國際共製，讓高雄由文化場館與活動城市進一步成為文化內容生產城市。","高雄已累積美術館、駁二、衛武營、高流等文化場館與城市品牌，下一階段應讓文化從土地生根、從生活長出創作，支持更多高雄作品誕生並走向國際市場。","文化生根：以61座圖書館串起生活圈，深化社區文化扎根。||時光再生：推動歷史街區再生，建置38區文化故事庫。||百藝傳世：盤點文化職人與傳統技藝，培育青年接班。||南方立論：建立大南方人文藝術研究，述說高雄自己的故事。||高雄舞台：培育表演人才、支持在地原創，推動劇場人口倍增。||內容造浪：布局港區、鳳山、左營、岡山四大文化內容基地，發展影視、音樂、動漫、遊戲與IP產業。||國際交陪：從國際邀演走向策展共製，讓高雄作品進入國際市場。","表示藝術工作者以專業帶給觀眾感動，政治工作者也應以專業讓市民生活得更好。||主張讓高雄的場館、活動與城市故事轉化成更多屬於高雄的作品與文化內容。",2026-09-07,"賴瑞隆 Threads：文化高雄．世界舞台",https://www.threads.com/share/FA5zqGs_j/,候選人原文,2026-09-07,"2026-09-07｜查核賴瑞隆官方網站 https://zenolai.oen.tw/，未找到「文化高雄」、「世界舞台」或七項文化政策的同步頁面。",https://www.nownews.com/news/6872857
candidate-tpe-mayor-shen-boyang-001,臺北市,縣市長,沈伯洋,民主進步黨,文化資產|地方文史|文化廊道,"主張文化資產保存須建立可持續的路徑、機制與後續投入，並以台北記憶倉庫串聯西門町、北門、淡水河及大稻埕，形成認識台北的文化廊道。","文化保存不應只停留在單點修復，而應連結城市記憶、空間與後續治理。","建立可持續的文化資產保存機制。||以台北記憶倉庫串聯西門町、北門、淡水河與大稻埕，形成文化廊道。","提出應讓在地故事被世界看見，並把文化資產保存轉化為可持續的城市路徑。",2026-08-03,"議員：台北需要沈伯洋把在地故事帶向世界",https://www.mirrormedia.mg/external/setn_1883065,新聞報導,2026-09-06,,
candidate-ntpc-mayor-su-chiao-hui-001,新北市,縣市長,蘇巧慧,民主進步黨,文化場館|影視文化|地方文史,"提出將國家電影及視聽文化中心進一步打造成「三金博物館」，呈現金曲、金鐘與金馬文化，並讓更多人認識新莊的歷史文化。","以國家級影視音館藏為基礎，讓文化場館同時承擔產業記憶、公共展示與地方認同功能。","將國家電影及視聽文化中心發展為呈現金馬、金曲與金鐘文化的三金博物館。||推動國影中心二期留在新莊，並由中央全額支應修正後建設經費。","表示將與中央共同推動國影中心成為匯聚臺灣影視音文化的重要據點。",2026-07-06,"國影中心二期留新莊！中央全額補助停車位",https://chiao.tw/chiao_view/%E5%9C%8B%E5%BD%B1%E4%B8%AD%E5%BF%83%E4%BA%8C%E6%9C%9F%E7%95%99%E6%96%B0%E8%8E%8A%EF%BC%81%E4%B8%AD%E5%A4%AE%E5%85%A8%E9%A1%8D%E8%A3%9C%E5%8A%A9%E5%81%9C%E8%BB%8A%E4%BD%8D,候選人原文,2026-09-06,"2026-09-06｜主要來源改為候選人官網，原新聞改列輔助來源。",https://udn.com/vote2026/story/124652/9675933
candidate-ntpc-mayor-lee-sichuan-001,新北市,縣市長,李四川,中國國民黨,客家文化|文化教育|文化場館,"提出客家文化傳承與創新政策，包括將客家社團補助提高至每班最高10萬元、朝完成15座哈客館推進，並提高客語教師待遇。","以場館、社團與語言教育三條路徑，擴大都市客家文化的日常傳承。","將客家社團補助提高至每班最高10萬元。||朝完成15座哈客館推進。||提高客語教師待遇。","強調客家政策必須兼顧文化傳承與制度支持。",2026-06-17,"搶客家票 李四川提6政見 加碼社團補助",https://udn.com/news/story/124652/9570752,新聞報導,2026-09-06,,
candidate-hcc-mayor-chuang-ching-cheng-001,新竹市,縣市長,莊競程,民主進步黨,客家文化|文化治理|文化科技,"主張成立客家事務處、推動客語扎根計畫，並以「科技客家」結合產業與大學資源，進行數位文化保存、智慧導覽、文化空間活化及地方創生。","把科技城市的產學資源導入客家文化治理，讓語言保存、空間活化與地方產業形成整體政策。","成立客家事務處。||推動客語扎根計畫。||結合產業與大學進行數位文化保存及智慧導覽。||活化文化空間並連結地方創生。","以「科技客家」概括文化保存、智慧應用與產業合作的政策方向。",2026-07-26,"莊競程提「科技客家」政見 數位保存文化、活化客庄",https://udn.com/vote2026/story/124652/9651723,新聞報導,2026-09-06,,
candidate-yilan-mayor-lin-kuo-chang-001,宜蘭縣,縣市長,林國漳,民主進步黨,文化治理|文化教育|文化資產|文化產業,"提出「文化立縣2.0」五大綱領：活化文化場域、文化教育扎根與東部考古研究中心、節慶保存與一日文化假、文化政策白皮書與中興文創園區重整，以及設計展、影展和博物館家族串聯。","從過去的文化品牌進一步走向制度、教育、場域與產業並進的文化治理。","活化文化場域並重整中興文創園區。||推動文化教育扎根及東部考古研究中心。||保存節慶並研議一日文化假。||制定文化政策白皮書。||串聯設計展、影展與博物館家族。","以「從文化立縣走向文化治縣」說明政策不只舉辦活動，也要建立治理制度。",2026-08-28,"林國漳拋「文化立縣2.0」五大綱領～從文化立縣走向文化治縣",https://www.kamalan-news.com/political/22/18859,新聞報導,2026-09-06,,https://2026openchang.tw/
candidate-yunlin-mayor-chang-chia-chun-001,雲林縣,縣市長,張嘉郡,中國國民黨,文化場館|藝術教育|地方文化,"提出興建「雲林美術館」，兼具藝術展覽、美感教育、地方文化與觀光功能，並與各地文化資源串聯成文化廊帶；政策白皮書規劃以斗六為設址方向。","以大型文化場館作為雲林藝術教育、地方文化、觀光與城市品牌的核心節點。","推動雲林美術館落腳斗六。||讓場館兼具藝術展覽、美感教育、地方文化與觀光功能。||串聯各地文化資源形成文化廊帶。","將雲林美術館定位為文化新地標，並納入接續地方重大建設的政策藍圖。",2026-08-20,"接棒張麗善繼續拼　張嘉郡擘劃雲林美術館落腳斗六新願景",https://www.devotetoyunlin.com/News1,候選人原文,2026-09-06,"2026-09-02｜補充政策白皮書與斗六設址方向。||2026-09-06｜主要來源改為候選人官網，原新聞改列輔助來源。",https://life.tw/article/%E5%BC%B5%E5%98%89%E9%83%A1%E6%8B%8B-%E9%9B%B2%E6%9E%97%E7%BE%8E%E8%A1%93%E9%A4%A8-%E6%94%BF%E8%A6%8B-%E8%A6%AA%E8%B5%B4%E5%8F%B0%E4%B8%AD%E5%90%91%E7%9B%A7%E7%A7%80%E7%87%95%E5%8F%96%E7%B6%93-3130493
candidate-hualien-mayor-yu-shu-chen-001,花蓮縣,縣市長,游淑貞,中國國民黨,客家文化|文化治理|文化觀光|地方創生,"發布《花蓮客家文化願景白皮書》，提出客語生活化與教育扎根、客庄產業創生、族群主流化、客庄文化生活廊道及客庄慢旅與文化觀光五項政策。","讓客家文化從語言教育延伸至產業、空間、觀光及縣政治理。","推動客語生活化與教育扎根。||支持客庄產業創生與族群主流化。||建構客庄文化生活廊道。||發展客庄慢旅與文化觀光。","以「文化新生帶動產業創生與地方發展」說明客家政策的整體定位。",2026-08-24,"游淑貞發布《花蓮客家文化願景白皮書》打造客庄花蓮！以文化新生帶動產業創生與地方發展",https://news.tvbs.com.tw/life/4011947,新聞報導,2026-09-06,,
candidate-hualien-mayor-chang-chun-001,花蓮縣,縣市長,張峻,無黨籍,藝文資源|文化平權|社區文化,"主張盤點花蓮13鄉鎮市藝文需求，增加中南區及偏鄉巡迴展演與藝文據點，支持地方藝文團隊與社區文化據點，讓縣級藝文活動深入鄉鎮與部落。","以區域資源均衡回應花蓮幅員狹長造成的文化近用落差。","盤點13鄉鎮市藝文需求。||增加中南區及偏鄉巡迴展演與藝文據點。||支持地方藝文團隊與社區文化據點。||讓縣級藝文活動深入鄉鎮與部落。","以「住得遠不代表離文化也要遠」說明文化平權立場。",2026-08-15,"張峻出席「玉里・正來寮」成果展　提藝文資源均衡政策：住得遠不代表離文化也要遠",https://news.pchome.com.tw/society/tcpttw/20260815/index-78678550970686334002.html,新聞報導,2026-09-06,,
candidate-hualien-mayor-wei-chia-hsien-001,花蓮縣,縣市長,魏嘉賢,無黨籍,文化資產|戰爭記憶|文化路徑,"主張由縣府系統性調查、保存、研究及活化花蓮二戰遺跡，串聯防空洞、地下坑道、砲陣地等戰地史跡，建立戰地文化路徑。","把散落的戰爭遺跡視為需要公共保存、研究與轉譯的地方歷史資產。","由縣府系統性調查、保存、研究及活化二戰遺跡。||串聯防空洞、地下坑道與砲陣地等史跡。||建立花蓮戰地文化路徑。","表示戰爭遺跡不應被遺忘，而應轉化為能被理解與使用的文化資產。",2026-08-15,"從漢光演習看花蓮的戰地史跡｜魏嘉賢：這些遺跡不該被遺忘，而應該成為文化資產。",https://etaiwan.news/2026/08/15/%E5%BE%9E%E6%BC%A2%E5%85%89%E6%BC%94%E7%BF%92%E7%9C%8B%E8%8A%B1%E8%93%AE%E7%9A%84%E6%88%B0%E5%9C%B0%E5%8F%B2%E8%B7%A1%EF%BD%9C%E9%AD%8F%E5%98%89%E8%B3%A2%EF%BC%9A%E9%80%99%E4%BA%9B%E9%81%BA%E8%B7%A1/,候選人原文,2026-09-06,,
candidate-khh-mayor-lai-jui-lung-002,高雄市,縣市長,賴瑞隆,民主進步黨,社區文化|文化資產|傳統藝術|地方文史|表演藝術|文化產業|國際文化交流,"提出「文化高雄・世界舞台」七大政策，涵蓋圖書館生活圈、文化故事庫、傳統技藝、南方人文研究、表演人才、文化內容基地與國際共製。","以文化生根、內容產製與國際共製，讓城市文化設施與地方故事轉化為作品及產業。","以61座圖書館串起生活圈。||建置38區文化故事庫。||傳承傳統技藝並培育接班。||布局四大文化內容基地與國際共製。","提出「文化高雄・世界舞台」作為整體文化政策方向。",2026-09-07,"賴瑞隆 Threads：文化高雄・世界舞台（7大政策、18項計畫）",https://www.threads.com/share/FuJ7gG1iq/,候選人原文,2026-09-14,"2026-09-14｜由舊審核資料遷入，與既有賴瑞隆卡片合併呈現。",https://www.threads.com/share/FA5zqGs_j/
candidate-tpe-mayor-shen-boyang-002,臺北市,縣市長,沈伯洋,民主進步黨,文化觀光|文化資產|地方文化,"提出「首都文化徑及山林徑」，將產業、歷史、族群與人權民主等主題串為文化路徑，結合山林觀光。","以城市文化路徑串聯歷史記憶與山林觀光，讓文化保存成為可近用的公共體驗。","規劃首都文化徑及山林徑。||規劃三座登山觀光中心。||串連產業、歷史、族群與人權民主文化主題。","以登山觀光中心串接文化路徑與山林旅遊。",2026-09-08,"沈伯洋拋設登山觀光中心政見",https://news.pts.org.tw/article/826016,新聞報導,2026-09-14,"2026-09-14｜由舊審核資料遷入，與既有沈伯洋卡片合併呈現。",
candidate-yilan-mayor-lin-kuo-chang-002,宜蘭縣,縣市長,林國漳,民主進步黨,文化教育|多元語言|地方文化,"提出建構「宜蘭學」，將地方特色與本土語言融入教材，從學校教育建立文化認同。","讓地方知識與本土語言進入日常教育，將文化認同建立在認識家鄉的學習經驗上。","建構「宜蘭學」。||將地方特色融入教材。||將本土語言融入教材。","從認識家鄉建立文化認同。",2026-09-10,"林國漳端教育政見～深耕「宜蘭學」從本土走向世界",https://www.kamalan-news.com/political/22/18962,新聞報導,2026-09-14,"2026-09-14｜由舊審核資料遷入，與既有林國漳卡片合併呈現。",https://2026openchang.tw/
candidate-tc-councilor-liu-qin-yu-001,臺中市,縣市議員,劉芩妤,台灣民眾黨,圖書館與閱讀,"提出在捷運站與超商增設智慧還書箱，並以 App 預約與配送圖書，擴大公共圖書館服務的生活可近性。","讓借還書服務從圖書館延伸到通勤與日常生活場景，降低使用門檻。","在捷運站與超商增設智慧還書箱。||以 App 預約圖書並配送。","主張以數位預約與生活據點提升閱讀服務。",2026-09-09,"台灣民眾黨｜劉芩妤 2026 候選人頁",https://www.tpp.org.tw/election2026/candidatedetail.php?cid=167,政黨候選人頁,2026-09-14,"2026-09-14｜由舊審核資料遷入。",
candidate-tn-councilor-wu-yi-chieh-001,臺南市,縣市議員,吳依潔,台灣基進,多元語言|文化教育|文化與地方認同,"主張市政以本土文化與本土語言優先，並將設立台語委員會與轉型正義納入施政方向。","以制度支持本土語言與文化認同，並處理城市中的威權遺緒。","設立台語委員會專責相關事務。||市政以本土文化與本土語言優先。||落實轉型正義並去除威權遺緒。","提出本土文化與本土語言優先的施政立場。",2026-09-08,"吳依潔｜台灣基進・市議員候選人｜台灣前進",https://taiwangogo.tw/wu-yi-chieh/,候選人頁,2026-09-14,"2026-09-14｜由舊審核資料遷入。",
candidate-khh-councilor-yu-hsien-ling-001,高雄市,縣市議員,于仙玲,小民參政歐巴桑聯盟,多元語言|文化教育|文化與地方認同,"將語言文化納入育兒友善政策，主張推動台語幼兒園實驗班。","將母語學習提前至幼兒教育，讓語言傳承成為公共育兒支持的一部分。","推動台語幼兒園建置實驗班。","將語言文化列為育兒友善政策的一環。",2026-09-08,"于仙玲｜小歐盟・市議員候選人｜台灣前進",https://taiwangogo.tw/yu-hsien-ling/,候選人頁,2026-09-14,"2026-09-14｜由舊審核資料遷入。",
candidate-hcc-councilor-li-mei-001,新竹市,縣市議員,李玫,台灣民眾黨,藝文活動|文化教育|地方文化與社區營造|文化場館,"主張增加校園藝文教育預算、支持南區在地藝術團體，並爭取常態藝術季與專業展演空間。","透過教育投入、社區藝文活動與公共場館，補足南區藝術資源。","增加各校藝文教育預算並定期辦理培育工作坊。||支持南區在地藝術團體。||每年固定在南區設置藝文活動並結合走讀。||規劃新竹市美術館大型專業展演空間。","主張讓南區有可持續的藝文活動與展演資源。",2026-09-08,"台灣民眾黨｜李玫 2026 候選人頁",https://www.tpp.org.tw/election2026/candidatedetail.php?cid=200,政黨候選人頁,2026-09-14,"2026-09-14｜由舊審核資料遷入。",
candidate-cha-councilor-kao-tsai-ling-001,彰化縣,縣市議員,高采翎,台灣民眾黨,原住民族文化|多元語言|文化教育,"提出「族語扎根傳承」，以教育與日常使用支持原住民族語言延續。","讓族語傳承從單次活動走向長期的教育與生活支持。","推動族語扎根傳承。","將族語傳承列為政見。",2026-09-08,"台灣民眾黨｜高采翎 2026 候選人頁",https://www.tpp.org.tw/2026election/candidatedetail.php?cid=212,政黨候選人頁,2026-09-14,"2026-09-14｜由舊審核資料遷入。",
candidate-khh-councilor-lin-yu-kai-001,高雄市,縣市議員,林于凱,台灣民眾黨,客家文化|文化教育,"提出持續推動客語教育，支持客家語言的日常傳承。","以教育作為客語傳承的長期基礎。","持續推動客語教育。","將客語教育列為政見。",2026-09-08,"台灣民眾黨｜林于凱 2026 候選人頁",https://www.tpp.org.tw/election2026/candidatedetail.php?cid=187,政黨候選人頁,2026-09-14,"2026-09-14｜由舊審核資料遷入。",
candidate-tpe-councilor-lin-hsiao-wei-001,臺北市,縣市議員,林筱薇,小民參政歐巴桑聯盟,原住民族文化|多元語言|文化教育|節慶與民俗文化,"主張都市原住民族政策不應只停留在文化活動或節慶補助，而要形成涵蓋居住、就業、語言、文化學習、照顧與決策參與的支持制度。","以制度性資源支持都市原住民族文化學習、人才發展與公共參與。","建立都市原住民發展支持系統。||推動都市原住民族多元人才規劃。||提高文化學習歷程在特殊選才的採計比重。||提供文化語言、藝術、音樂、影像與設計等領域升學與就業支持。","強調都市原住民族政策須超越節慶補助。",2026-09-08,"林筱薇 2026 臺北市平地原住民議員候選人｜政見",https://www.imvlin.com/whatvdo,候選人原文,2026-09-14,"2026-09-14｜由舊審核資料遷入。",
candidate-tpe-councilor-wu-hsin-tai-001,臺北市,縣市議員,吳欣岱,台灣基進,多元語言|文化教育|文化觀光,"提出「母語永傳承」，以台語實驗小學、本土語言優先的地名英譯與文化景點導覽，推動臺北市的母語公共使用。","將母語帶入教育、城市命名與文化觀光資訊，擴大其公共可見度。","成立第一所台語實驗小學。||在地英譯名以本土語言優先。||盤點文化景點並製作本土語言導覽資訊。","以「母語永傳承」概括政策方向。",2026-09-08,"吳欣岱｜台灣基進・市議員候選人｜台灣前進",https://taiwangogo.tw/wu-hsin-tai/,候選人頁,2026-09-14,"2026-09-14｜由舊審核資料遷入。",
candidate-ntpc-councilor-chen-yu-chieh-001,新北市,縣市議員,陳語倢,台灣民眾黨,文化觀光|文化產業與文創|地方文化與社區營造,"提出整合北海岸觀光網、提升旅遊文化體驗，並以青年創業與社區文創活化地方特色。","以文化觀光串連地方產業、青年創業與社區文創亮點。","整合北海岸觀光網。||提升旅遊文化體驗。||輔導青年創業與新產業。||活化社區文創亮點。","主張以北海岸觀光與文創帶動地方發展。",2026-09-09,"台灣民眾黨｜陳語倢",https://www.tpp.org.tw/election2026/candidatedetail.php?cid=161,政黨候選人頁,2026-09-14,"2026-09-14｜由舊審核資料遷入。",
